"","Ligand","Receptor","LR"
"1408","Dspp","Itgav","Dspp-Itgav"
"1412","Vwf","Itgav","Vwf-Itgav"
"1413","Tnc","Itgav","Tnc-Itgav"
"1414","Tnr","Itgav","Tnr-Itgav"
"1415","Tnn","Itgav","Tnn-Itgav"
"1416","Tnxb","Itgav","Tnxb-Itgav"
"1417","Ibsp","Itgav","Ibsp-Itgav"
"1418","Thbs1","Itgav","Thbs1-Itgav"
"1419","Thbs2","Itgav","Thbs2-Itgav"
"1420","Thbs3","Itgav","Thbs3-Itgav"
"1421","Thbs4","Itgav","Thbs4-Itgav"
"1422","Comp","Itgav","Comp-Itgav"
"1423","Dmp1","Itgav","Dmp1-Itgav"
"1424","Fn1","Itga2b","Fn1-Itga2b"
"1425","Vtn","Itga2b","Vtn-Itga2b"
"1426","Vwf","Itga2b","Vwf-Itga2b"
"1427","Tnc","Itga2b","Tnc-Itga2b"
"1428","Tnr","Itga2b","Tnr-Itga2b"
"1429","Tnn","Itga2b","Tnn-Itga2b"
"1430","Tnxb","Itga2b","Tnxb-Itga2b"
"1441","Lama1","Itgav","Lama1-Itgav"
"1442","Lama2","Itgav","Lama2-Itgav"
"1443","Lama3","Itgav","Lama3-Itgav"
"1444","Lama4","Itgav","Lama4-Itgav"
"1445","Lama5","Itgav","Lama5-Itgav"
"1446","Lamb1","Itgav","Lamb1-Itgav"
"1447","Lamb2","Itgav","Lamb2-Itgav"
"1448","Lamb3","Itgav","Lamb3-Itgav"
"1449","Lamc1","Itgav","Lamc1-Itgav"
"1450","Lamc2","Itgav","Lamc2-Itgav"
"1451","Lamc3","Itgav","Lamc3-Itgav"
"1452","Col1a1","Itgav","Col1a1-Itgav"
"1453","Col1a2","Itgav","Col1a2-Itgav"
"1454","Col2a1","Itgav","Col2a1-Itgav"
"1455","Col4a1","Itgav","Col4a1-Itgav"
"1456","Col4a2","Itgav","Col4a2-Itgav"
"1457","Col4a3","Itgav","Col4a3-Itgav"
"1458","Col4a4","Itgav","Col4a4-Itgav"
"1459","Col4a5","Itgav","Col4a5-Itgav"
"1460","Col4a6","Itgav","Col4a6-Itgav"
"1461","Col6a1","Itgav","Col6a1-Itgav"
"1462","Col6a2","Itgav","Col6a2-Itgav"
"1463","Col6a3","Itgav","Col6a3-Itgav"
"1464","Col6a4","Itgav","Col6a4-Itgav"
"1465","Col6a5","Itgav","Col6a5-Itgav"
"1466","Col6a6","Itgav","Col6a6-Itgav"
"1467","Col9a1","Itgav","Col9a1-Itgav"
"1468","Col9a2","Itgav","Col9a2-Itgav"
"1469","Col9a3","Itgav","Col9a3-Itgav"
"1481","Fn1","Cd44","Fn1-Cd44"
"1482","Col1a1","Cd44","Col1a1-Cd44"
"1483","Col1a2","Cd44","Col1a2-Cd44"
"1484","Col2a1","Cd44","Col2a1-Cd44"
"1485","Col4a1","Cd44","Col4a1-Cd44"
"1486","Col4a2","Cd44","Col4a2-Cd44"
"1487","Col4a3","Cd44","Col4a3-Cd44"
"1488","Col4a4","Cd44","Col4a4-Cd44"
"1489","Col4a5","Cd44","Col4a5-Cd44"
"1490","Col4a6","Cd44","Col4a6-Cd44"
"1491","Col6a1","Cd44","Col6a1-Cd44"
"1492","Col6a2","Cd44","Col6a2-Cd44"
"1493","Col6a3","Cd44","Col6a3-Cd44"
"1494","Col6a4","Cd44","Col6a4-Cd44"
"1495","Col6a5","Cd44","Col6a5-Cd44"
"1496","Col6a6","Cd44","Col6a6-Cd44"
"1497","Col9a1","Cd44","Col9a1-Cd44"
"1498","Col9a2","Cd44","Col9a2-Cd44"
"1499","Col9a3","Cd44","Col9a3-Cd44"
"1500","Lama1","Cd44","Lama1-Cd44"
"1501","Lama2","Cd44","Lama2-Cd44"
"1502","Lama3","Cd44","Lama3-Cd44"
"1503","Lama4","Cd44","Lama4-Cd44"
"1504","Lama5","Cd44","Lama5-Cd44"
"1505","Lamb1","Cd44","Lamb1-Cd44"
"1506","Lamb2","Cd44","Lamb2-Cd44"
"1507","Lamb3","Cd44","Lamb3-Cd44"
"1508","Lamc1","Cd44","Lamc1-Cd44"
"1509","Lamc2","Cd44","Lamc2-Cd44"
"1510","Lamc3","Cd44","Lamc3-Cd44"
"1511","Col1a1","Sdc1","Col1a1-Sdc1"
"1512","Col1a2","Sdc1","Col1a2-Sdc1"
"1513","Col2a1","Sdc1","Col2a1-Sdc1"
"1514","Col4a1","Sdc1","Col4a1-Sdc1"
"1515","Col4a2","Sdc1","Col4a2-Sdc1"
"1516","Col4a3","Sdc1","Col4a3-Sdc1"
"1517","Col4a4","Sdc1","Col4a4-Sdc1"
"1518","Col4a5","Sdc1","Col4a5-Sdc1"
"1519","Col4a6","Sdc1","Col4a6-Sdc1"
"1520","Col6a1","Sdc1","Col6a1-Sdc1"
"1521","Col6a2","Sdc1","Col6a2-Sdc1"
"1522","Col6a3","Sdc1","Col6a3-Sdc1"
"1523","Col6a4","Sdc1","Col6a4-Sdc1"
"1524","Col6a5","Sdc1","Col6a5-Sdc1"
"1525","Col6a6","Sdc1","Col6a6-Sdc1"
"1526","Col9a1","Sdc1","Col9a1-Sdc1"
"1527","Col9a2","Sdc1","Col9a2-Sdc1"
"1528","Col9a3","Sdc1","Col9a3-Sdc1"
"1529","Fn1","Sdc1","Fn1-Sdc1"
"1530","Tnc","Sdc1","Tnc-Sdc1"
"1531","Tnr","Sdc1","Tnr-Sdc1"
"1532","Tnn","Sdc1","Tnn-Sdc1"
"1533","Tnxb","Sdc1","Tnxb-Sdc1"
"1534","Thbs1","Sdc1","Thbs1-Sdc1"
"1535","Thbs2","Sdc1","Thbs2-Sdc1"
"1536","Thbs3","Sdc1","Thbs3-Sdc1"
"1537","Thbs4","Sdc1","Thbs4-Sdc1"
"1538","Comp","Sdc1","Comp-Sdc1"
"1539","Col1a1","Sdc4","Col1a1-Sdc4"
"1540","Col1a2","Sdc4","Col1a2-Sdc4"
"1541","Col2a1","Sdc4","Col2a1-Sdc4"
"1542","Col4a1","Sdc4","Col4a1-Sdc4"
"1543","Col4a2","Sdc4","Col4a2-Sdc4"
"1544","Col4a3","Sdc4","Col4a3-Sdc4"
"1545","Col4a4","Sdc4","Col4a4-Sdc4"
"1546","Col4a5","Sdc4","Col4a5-Sdc4"
"1547","Col4a6","Sdc4","Col4a6-Sdc4"
"1548","Col6a1","Sdc4","Col6a1-Sdc4"
"1549","Col6a2","Sdc4","Col6a2-Sdc4"
"1550","Col6a3","Sdc4","Col6a3-Sdc4"
"1551","Col6a4","Sdc4","Col6a4-Sdc4"
"1552","Col6a5","Sdc4","Col6a5-Sdc4"
"1553","Col6a6","Sdc4","Col6a6-Sdc4"
"1554","Col9a1","Sdc4","Col9a1-Sdc4"
"1555","Col9a2","Sdc4","Col9a2-Sdc4"
"1556","Col9a3","Sdc4","Col9a3-Sdc4"
"1557","Fn1","Sdc4","Fn1-Sdc4"
"1558","Tnc","Sdc4","Tnc-Sdc4"
"1559","Tnr","Sdc4","Tnr-Sdc4"
"1560","Tnn","Sdc4","Tnn-Sdc4"
"1561","Tnxb","Sdc4","Tnxb-Sdc4"
"1562","Thbs1","Sdc4","Thbs1-Sdc4"
"1563","Thbs2","Sdc4","Thbs2-Sdc4"
"1564","Thbs3","Sdc4","Thbs3-Sdc4"
"1565","Thbs4","Sdc4","Thbs4-Sdc4"
"1566","Comp","Sdc4","Comp-Sdc4"
"1567","Lama1","Sv2a","Lama1-Sv2a"
"1568","Lama2","Sv2a","Lama2-Sv2a"
"1569","Lama3","Sv2a","Lama3-Sv2a"
"1570","Lama4","Sv2a","Lama4-Sv2a"
"1571","Lama5","Sv2a","Lama5-Sv2a"
"1572","Lamb1","Sv2a","Lamb1-Sv2a"
"1573","Lamb2","Sv2a","Lamb2-Sv2a"
"1574","Lamb3","Sv2a","Lamb3-Sv2a"
"1575","Lamc1","Sv2a","Lamc1-Sv2a"
"1576","Lamc2","Sv2a","Lamc2-Sv2a"
"1577","Lamc3","Sv2a","Lamc3-Sv2a"
"1578","Lama1","Sv2b","Lama1-Sv2b"
"1579","Lama2","Sv2b","Lama2-Sv2b"
"1580","Lama3","Sv2b","Lama3-Sv2b"
"1581","Lama4","Sv2b","Lama4-Sv2b"
"1582","Lama5","Sv2b","Lama5-Sv2b"
"1583","Lamb1","Sv2b","Lamb1-Sv2b"
"1584","Lamb2","Sv2b","Lamb2-Sv2b"
"1585","Lamb3","Sv2b","Lamb3-Sv2b"
"1586","Lamc1","Sv2b","Lamc1-Sv2b"
"1587","Lamc2","Sv2b","Lamc2-Sv2b"
"1588","Lamc3","Sv2b","Lamc3-Sv2b"
"1589","Lama1","Sv2c","Lama1-Sv2c"
"1590","Lama2","Sv2c","Lama2-Sv2c"
"1591","Lama3","Sv2c","Lama3-Sv2c"
"1592","Lama4","Sv2c","Lama4-Sv2c"
"1593","Lama5","Sv2c","Lama5-Sv2c"
"1594","Lamb1","Sv2c","Lamb1-Sv2c"
"1595","Lamb2","Sv2c","Lamb2-Sv2c"
"1596","Lamb3","Sv2c","Lamb3-Sv2c"
"1597","Lamc1","Sv2c","Lamc1-Sv2c"
"1598","Lamc2","Sv2c","Lamc2-Sv2c"
"1599","Lamc3","Sv2c","Lamc3-Sv2c"
"1600","Thbs1","Cd36","Thbs1-Cd36"
"1601","Thbs2","Cd36","Thbs2-Cd36"
"1602","Thbs3","Cd36","Thbs3-Cd36"
"1603","Thbs4","Cd36","Thbs4-Cd36"
"1604","Comp","Cd36","Comp-Cd36"
"1605","Vwf","Gpcomplex","Vwf-Gpcomplex"
"1606","Col1a1","Gp6","Col1a1-Gp6"
"1607","Col1a2","Gp6","Col1a2-Gp6"
"1608","Col2a1","Gp6","Col2a1-Gp6"
"1609","Col4a1","Gp6","Col4a1-Gp6"
"1610","Col4a2","Gp6","Col4a2-Gp6"
"1611","Col4a3","Gp6","Col4a3-Gp6"
"1612","Col4a4","Gp6","Col4a4-Gp6"
"1613","Col4a5","Gp6","Col4a5-Gp6"
"1614","Col4a6","Gp6","Col4a6-Gp6"
"1615","Col6a1","Gp6","Col6a1-Gp6"
"1616","Col6a2","Gp6","Col6a2-Gp6"
"1617","Col6a3","Gp6","Col6a3-Gp6"
"1618","Col6a4","Gp6","Col6a4-Gp6"
"1619","Col6a5","Gp6","Col6a5-Gp6"
"1620","Col6a6","Gp6","Col6a6-Gp6"
"1621","Col9a1","Gp6","Col9a1-Gp6"
"1622","Col9a2","Gp6","Col9a2-Gp6"
"1623","Col9a3","Gp6","Col9a3-Gp6"
"1624","Thbs1","Cd47","Thbs1-Cd47"
"1625","Thbs2","Cd47","Thbs2-Cd47"
"1626","Thbs3","Cd47","Thbs3-Cd47"
"1627","Thbs4","Cd47","Thbs4-Cd47"
"1628","Comp","Cd47","Comp-Cd47"
"1629","Agrn","Dag1","Agrn-Dag1"
"1630","Hspg2","Dag1","Hspg2-Dag1"
"1631","Lama1","Dag1","Lama1-Dag1"
"1632","Lama2","Dag1","Lama2-Dag1"
"1633","Lama3","Dag1","Lama3-Dag1"
"1634","Lama4","Dag1","Lama4-Dag1"
"1635","Lama5","Dag1","Lama5-Dag1"
"1636","Lamb1","Dag1","Lamb1-Dag1"
"1637","Lamb2","Dag1","Lamb2-Dag1"
"1638","Lamb3","Dag1","Lamb3-Dag1"
"1639","Lamc1","Dag1","Lamc1-Dag1"
"1640","Lamc2","Dag1","Lamc2-Dag1"
"1641","Lamc3","Dag1","Lamc3-Dag1"
"1642","Adgre5","Cd55b","Adgre5-Cd55b"
"1643","Alcam","Cd6","Alcam-Cd6"
"1645","App","Cd74","App-Cd74"
"1646","Bst2","Pira2","Bst2-Pira2"
"1647","Cadm1","Cadm1","Cadm1-Cadm1"
"1648","Cadm3","Cadm3","Cadm3-Cadm3"
"1649","Cd1d2","Pira2","Cd1d2-Pira2"
"1650","Cd200","Cd200r1","Cd200-Cd200r1"
"1651","Cd200","Cd200r2","Cd200-Cd200r2"
"1652","Cd200","Cd200r3","Cd200-Cd200r3"
"1653","Cd200","Cd200r4","Cd200-Cd200r4"
"1654","Cd22","Ptprc","Cd22-Ptprc"
"1655","Cd226","Nectin2","Cd226-Nectin2"
"1656","Cd226","Pvr","Cd226-Pvr"
"1657","Fcer2a","Itgam","Fcer2a-Itgam"
"1658","Fcer2a","Itgax","Fcer2a-Itgax"
"1659","Fcer2a","Itgav","Fcer2a-Itgav"
"1660","Fcer2a","Cr2","Fcer2a-Cr2"
"1661","Cd34","Selp","Cd34-Selp"
"1662","Entpd1","Adora1","Entpd1-Adora1"
"1663","Entpd1","Adora2a","Entpd1-Adora2a"
"1664","Entpd1","Adora2b","Entpd1-Adora2b"
"1665","Entpd1","Tmigd3","Entpd1-Tmigd3"
"1666","Cd40lg","Cd40","Cd40lg-Cd40"
"1667","Ptprc","Cd22","Ptprc-Cd22"
"1668","Ptprc","Mrc1","Ptprc-Mrc1"
"1669","Cd46","Jag1","Cd46-Jag1"
"1670","Cd48","Cd244a","Cd48-Cd244a"
"1671","Cd52","Siglecg","Cd52-Siglecg"
"1672","Cd6","Alcam","Cd6-Alcam"
"1673","Cd80","Cd274","Cd80-Cd274"
"1674","Cd80","Cd28","Cd80-Cd28"
"1675","Cd80","Ctla4","Cd80-Ctla4"
"1676","Cd86","Cd28","Cd86-Cd28"
"1677","Cd86","Ctla4","Cd86-Ctla4"
"1678","Cd96","Nectin1","Cd96-Nectin1"
"1679","Cd96","Pvr","Cd96-Pvr"
"1680","Cd99","Pilra","Cd99-Pilra"
"1681","Cd99","Cd99","Cd99-Cd99"
"1682","Cdh15","Cdh15","Cdh15-Cdh15"
"1683","Cdh4","Cdh4","Cdh4-Cdh4"
"1684","Cdh2","Cdh2","Cdh2-Cdh2"
"1685","Cdh1","Cdh1","Cdh1-Cdh1"
"1686","Cdh1","Itga1","Cdh1-Itga1"
"1687","Cdh1","Itgae","Cdh1-Itgae"
"1688","Cdh1","Klrg1","Cdh1-Klrg1"
"1689","Cdh5","Cdh5","Cdh5-Cdh5"
"1690","Cd1d1","Ceacam5","Cd1d1-Ceacam5"
"1691","Cd209a","Ceacam1","Cd209a-Ceacam1"
"1692","Cd8a","Ceacam5","Cd8a-Ceacam5"
"1693","Ceacam1","Ceacam5","Ceacam1-Ceacam5"
"1694","Sele","Ceacam1","Sele-Ceacam1"
"1695","Cldn11","Cldn11","Cldn11-Cldn11"
"1696","Clec2d","Klrb1b","Clec2d-Klrb1b"
"1697","Clec2g","Klrb1","Clec2g-Klrb1"
"1698","Clec2h","Klrb1","Clec2h-Klrb1"
"1699","Clec2i","Klrb1","Clec2i-Klrb1"
"1700","Clec2f","Klrb1f","Clec2f-Klrb1f"
"1701","Clec2g","Klrb1f","Clec2g-Klrb1f"
"1702","Clec2i","Klrb1f","Clec2i-Klrb1f"
"1703","Nfasc","Cntn1","Nfasc-Cntn1"
"1704","Cntn2","Cntn2","Cntn2-Cntn2"
"1705","Cntn2","L1cam","Cntn2-L1cam"
"1707","Cntn1","Nrcam","Cntn1-Nrcam"
"1708","Cspg4","Itga2","Cspg4-Itga2"
"1709","Dsc1","Dsg1c","Dsc1-Dsg1c"
"1710","Dsc1","Dsg2","Dsc1-Dsg2"
"1711","Dsc2","Dsg1c","Dsc2-Dsg1c"
"1712","Dsc2","Dsg2","Dsc2-Dsg2"
"1713","Dsg1c","Dsc3","Dsg1c-Dsc3"
"1714","Dsg2","Dsc3","Dsg2-Dsc3"
"1715","Epgn","Egfr","Epgn-Egfr"
"1716","Efna1","Epha1","Efna1-Epha1"
"1717","Efna1","Epha2","Efna1-Epha2"
"1718","Efna1","Epha3","Efna1-Epha3"
"1719","Efna1","Epha4","Efna1-Epha4"
"1720","Efna1","Epha5","Efna1-Epha5"
"1721","Efna1","Epha7","Efna1-Epha7"
"1722","Efna1","Epha8","Efna1-Epha8"
"1723","Efna2","Epha1","Efna2-Epha1"
"1724","Efna2","Epha2","Efna2-Epha2"
"1725","Efna2","Epha3","Efna2-Epha3"
"1726","Efna2","Epha4","Efna2-Epha4"
"1727","Efna2","Epha5","Efna2-Epha5"
"1728","Efna2","Epha7","Efna2-Epha7"
"1729","Efna2","Epha8","Efna2-Epha8"
"1730","Efna3","Epha1","Efna3-Epha1"
"1731","Efna3","Epha2","Efna3-Epha2"
"1732","Efna3","Epha3","Efna3-Epha3"
"1733","Efna3","Epha4","Efna3-Epha4"
"1734","Efna3","Epha5","Efna3-Epha5"
"1735","Efna3","Epha7","Efna3-Epha7"
"1736","Efna3","Epha8","Efna3-Epha8"
"1737","Efna4","Epha1","Efna4-Epha1"
"1738","Efna4","Epha2","Efna4-Epha2"
"1739","Efna4","Epha3","Efna4-Epha3"
"1740","Efna4","Epha4","Efna4-Epha4"
"1741","Efna4","Epha5","Efna4-Epha5"
"1742","Efna4","Epha7","Efna4-Epha7"
"1743","Efna4","Epha8","Efna4-Epha8"
"1744","Efna5","Epha1","Efna5-Epha1"
"1745","Efna5","Epha2","Efna5-Epha2"
"1746","Efna5","Epha3","Efna5-Epha3"
"1747","Efna5","Epha4","Efna5-Epha4"
"1748","Efna5","Epha5","Efna5-Epha5"
"1749","Efna5","Epha7","Efna5-Epha7"
"1750","Efna5","Epha8","Efna5-Epha8"
"1751","Efna5","Ephb2","Efna5-Ephb2"
"1752","Efnb1","Epha4","Efnb1-Epha4"
"1753","Efnb1","Ephb1","Efnb1-Ephb1"
