"","Ligand","Receptor","LR"
"1816","H2-m3","Cd8a","H2-m3-Cd8a"
"1817","H2-m9","Cd8a","H2-m9-Cd8a"
"1818","H2-q1","Cd8a","H2-q1-Cd8a"
"1819","H2-q10","Cd8a","H2-q10-Cd8a"
"1820","H2-q2","Cd8a","H2-q2-Cd8a"
"1821","H2-q7","Cd8a","H2-q7-Cd8a"
"1822","H2-q8","Cd8a","H2-q8-Cd8a"
"1823","H2-t22","Cd8a","H2-t22-Cd8a"
"1824","H2-t23","Cd8a","H2-t23-Cd8a"
"1825","H2-t24","Cd8a","H2-t24-Cd8a"
"1826","H2-t3","Cd8a","H2-t3-Cd8a"
"1827","H2-t9","Cd8a","H2-t9-Cd8a"
"1828","H2-m10.4","Cd8a","H2-m10.4-Cd8a"
"1829","H2-m11","Cd8a","H2-m11-Cd8a"
"1830","H2-m1","Cd8a","H2-m1-Cd8a"
"1831","H2-m10.5","Cd8a","H2-m10.5-Cd8a"
"1832","H2-m10.2","Cd8a","H2-m10.2-Cd8a"
"1833","H2-m10.6","Cd8a","H2-m10.6-Cd8a"
"1834","H2-t10","Cd8a","H2-t10-Cd8a"
"1835","H2-q6","Cd8a","H2-q6-Cd8a"
"1836","H2-m10.3","Cd8a","H2-m10.3-Cd8a"
"1837","H2-bl","Cd8a","H2-bl-Cd8a"
"1838","H2-d1","Cd8a","H2-d1-Cd8a"
"1839","H2-k1","Cd8a","H2-k1-Cd8a"
"1840","H2-m10.1","Cd8a","H2-m10.1-Cd8a"
"1841","H2-t18","Cd8a","H2-t18-Cd8a"
"1842","H2-q9","Cd8a","H2-q9-Cd8a"
"1843","Gm8909","Cd8a","Gm8909-Cd8a"
"1844","H2-l","Cd8a","H2-l-Cd8a"
"1845","Gm10499","Cd8a","Gm10499-Cd8a"
"1846","H2-q4","Cd8a","H2-q4-Cd8a"
"1847","H2-t-ps","Cd8a","H2-t-ps-Cd8a"
"1848","Gm11127","Cd8a","Gm11127-Cd8a"
"1849","H2-m5","Cd8a","H2-m5-Cd8a"
"1850","Gm7030","Cd8a","Gm7030-Cd8a"
"1851","H2-m2","Cd8b1","H2-m2-Cd8b1"
"1852","H2-m3","Cd8b1","H2-m3-Cd8b1"
"1853","H2-m9","Cd8b1","H2-m9-Cd8b1"
"1854","H2-q1","Cd8b1","H2-q1-Cd8b1"
"1855","H2-q10","Cd8b1","H2-q10-Cd8b1"
"1856","H2-q2","Cd8b1","H2-q2-Cd8b1"
"1857","H2-q7","Cd8b1","H2-q7-Cd8b1"
"1858","H2-q8","Cd8b1","H2-q8-Cd8b1"
"1859","H2-t22","Cd8b1","H2-t22-Cd8b1"
"1860","H2-t23","Cd8b1","H2-t23-Cd8b1"
"1861","H2-t24","Cd8b1","H2-t24-Cd8b1"
"1862","H2-t3","Cd8b1","H2-t3-Cd8b1"
"1863","H2-t9","Cd8b1","H2-t9-Cd8b1"
"1864","H2-m10.4","Cd8b1","H2-m10.4-Cd8b1"
"1865","H2-m11","Cd8b1","H2-m11-Cd8b1"
"1866","H2-m1","Cd8b1","H2-m1-Cd8b1"
"1867","H2-m10.5","Cd8b1","H2-m10.5-Cd8b1"
"1868","H2-m10.2","Cd8b1","H2-m10.2-Cd8b1"
"1869","H2-m10.6","Cd8b1","H2-m10.6-Cd8b1"
"1870","H2-t10","Cd8b1","H2-t10-Cd8b1"
"1871","H2-q6","Cd8b1","H2-q6-Cd8b1"
"1872","H2-m10.3","Cd8b1","H2-m10.3-Cd8b1"
"1873","H2-bl","Cd8b1","H2-bl-Cd8b1"
"1874","H2-d1","Cd8b1","H2-d1-Cd8b1"
"1875","H2-k1","Cd8b1","H2-k1-Cd8b1"
"1876","H2-m10.1","Cd8b1","H2-m10.1-Cd8b1"
"1877","H2-t18","Cd8b1","H2-t18-Cd8b1"
"1878","H2-q9","Cd8b1","H2-q9-Cd8b1"
"1879","Gm8909","Cd8b1","Gm8909-Cd8b1"
"1880","H2-l","Cd8b1","H2-l-Cd8b1"
"1881","Gm10499","Cd8b1","Gm10499-Cd8b1"
"1882","H2-q4","Cd8b1","H2-q4-Cd8b1"
"1883","H2-t-ps","Cd8b1","H2-t-ps-Cd8b1"
"1884","Gm11127","Cd8b1","Gm11127-Cd8b1"
"1885","H2-m5","Cd8b1","H2-m5-Cd8b1"
"1886","Gm7030","Cd8b1","Gm7030-Cd8b1"
"1887","H2-bi","Kir3dl1","H2-bi-Kir3dl1"
"1888","H2-d1","Kir3dl1","H2-d1-Kir3dl1"
"1889","H2-k1","Kir3dl1","H2-k1-Kir3dl1"
"1890","H2-q1","Kir3dl1","H2-q1-Kir3dl1"
"1891","H2-q10","Kir3dl1","H2-q10-Kir3dl1"
"1892","H2-q2","Kir3dl1","H2-q2-Kir3dl1"
"1893","H2-q4","Kir3dl1","H2-q4-Kir3dl1"
"1894","H2-q6","Kir3dl1","H2-q6-Kir3dl1"
"1895","H2-q7","Kir3dl1","H2-q7-Kir3dl1"
"1896","H2-d","Klra","H2-d-Klra"
"1897","H2-k1","Klra","H2-k1-Klra"
"1898","Ulbp1","Klrk1","Ulbp1-Klrk1"
"1899","Raet1a","Klrk1","Raet1a-Klrk1"
"1900","H60a","Klrk1","H60a-Klrk1"
"1901","H2-ea-ps","Cd4","H2-ea-ps-Cd4"
"1902","H2-aa","Cd4","H2-aa-Cd4"
"1903","H2-ab1","Cd4","H2-ab1-Cd4"
"1904","H2-eb1","Cd4","H2-eb1-Cd4"
"1905","H2-dma","Cd4","H2-dma-Cd4"
"1906","H2-dmb1","Cd4","H2-dmb1-Cd4"
"1907","H2-dmb2","Cd4","H2-dmb2-Cd4"
"1908","H2-oa","Cd4","H2-oa-Cd4"
"1909","H2-ob","Cd4","H2-ob-Cd4"
"1910","Mpz","Mpzl1","Mpz-Mpzl1"
"1911","Mpz","Mpz","Mpz-Mpz"
"1912","Mpzl1","Mpzl1","Mpzl1-Mpzl1"
"1913","Ncam1","Fgfr1","Ncam1-Fgfr1"
"1914","Ncam1","Ncam1","Ncam1-Ncam1"
"1915","Ncam1","Ncam2","Ncam1-Ncam2"
"1916","Ncam1","L1cam","Ncam1-L1cam"
"1917","Ncam2","L1cam","Ncam2-L1cam"
"1918","Nectin1","Cadm3","Nectin1-Cadm3"
"1919","Nectin1","Cd96","Nectin1-Cd96"
"1920","Nectin1","Nectin4","Nectin1-Nectin4"
"1921","Nectin3","Nectin1","Nectin3-Nectin1"
"1922","Nectin3","Nectin2","Nectin3-Nectin2"
"1923","Nectin3","Pvr","Nectin3-Pvr"
"1924","Nectin3","Tigit","Nectin3-Tigit"
"1925","Nectin2","Cd226","Nectin2-Cd226"
"1926","Nectin2","Tigit","Nectin2-Tigit"
"1927","Nectin1","Nectin3","Nectin1-Nectin3"
"1928","Negr1","Negr1","Negr1-Negr1"
"1929","Lrrc4c","Ntng1","Lrrc4c-Ntng1"
"1930","Lrrc4","Ntng2","Lrrc4-Ntng2"
"1931","Lrrc4b","Ptprf","Lrrc4b-Ptprf"
"1933","Dlk1","Notch1","Dlk1-Notch1"
"1934","Dlk1","Notch2","Dlk1-Notch2"
"1935","Dlk1","Notch3","Dlk1-Notch3"
"1936","Dlk1","Notch4","Dlk1-Notch4"
"1937","Dll1","Notch1","Dll1-Notch1"
"1938","Dll1","Notch3","Dll1-Notch3"
"1939","Dll1","Notch4","Dll1-Notch4"
"1940","Dll3","Notch1","Dll3-Notch1"
"1941","Dll3","Notch2","Dll3-Notch2"
"1942","Dll3","Notch3","Dll3-Notch3"
"1943","Dll3","Notch4","Dll3-Notch4"
"1944","Dll4","Notch1","Dll4-Notch1"
"1945","Dll4","Notch2","Dll4-Notch2"
"1946","Dll4","Notch3","Dll4-Notch3"
"1947","Dll4","Notch4","Dll4-Notch4"
"1948","Jag1","Notch1","Jag1-Notch1"
"1949","Jag1","Notch2","Jag1-Notch2"
"1950","Jag1","Notch3","Jag1-Notch3"
"1951","Jag1","Notch4","Jag1-Notch4"
"1952","Jag2","Notch1","Jag2-Notch1"
"1953","Jag2","Notch2","Jag2-Notch2"
"1954","Jag2","Notch3","Jag2-Notch3"
"1955","Jag2","Notch4","Jag2-Notch4"
"1956","Dll1","Notch2","Dll1-Notch2"
"1957","Nrxn1","Nlgn1","Nrxn1-Nlgn1"
"1958","Nrxn1","Nlgn2","Nrxn1-Nlgn2"
"1959","Nrxn1","Nlgn3","Nrxn1-Nlgn3"
"1960","Nrxn2","Nlgn1","Nrxn2-Nlgn1"
"1961","Nrxn2","Nlgn2","Nrxn2-Nlgn2"
"1962","Nrxn2","Nlgn3","Nrxn2-Nlgn3"
"1963","Nrxn3","Nlgn1","Nrxn3-Nlgn1"
"1964","Nrxn3","Nlgn2","Nrxn3-Nlgn2"
"1965","Nrxn3","Nlgn3","Nrxn3-Nlgn3"
"1966","Ocln","Ocln","Ocln-Ocln"
"1967","Cd274","Pdcd1","Cd274-Pdcd1"
"1968","Pdcd1lg2","Pdcd1","Pdcd1lg2-Pdcd1"
"1969","Pecam1","Pecam1","Pecam1-Pecam1"
"1970","Ptprm","Ptprm","Ptprm-Ptprm"
"1971","Pvr","Cd226","Pvr-Cd226"
"1972","Pvr","Tigit","Pvr-Tigit"
"1973","Sele","Cd44","Sele-Cd44"
"1974","Sele","Glg1","Sele-Glg1"
"1975","Sell","Cd34","Sell-Cd34"
"1976","Sell","Podxl","Sell-Podxl"
"1977","Sell","Glycam1","Sell-Glycam1"
"1978","Sell","Madcam1","Sell-Madcam1"
"1979","Selplg","Sele","Selplg-Sele"
"1980","Selplg","Sell","Selplg-Sell"
"1981","Selplg","Selp","Selplg-Selp"
"1982","Sema4a","Nrp1","Sema4a-Nrp1"
"1986","Sema4a","Plxnb1","Sema4a-Plxnb1"
"1987","Sema4a","Plxnb2","Sema4a-Plxnb2"
"1988","Sema4a","Plxnb3","Sema4a-Plxnb3"
"1989","Sema4d","Plxnb1","Sema4d-Plxnb1"
"1990","Sema4d","Plxnb2","Sema4d-Plxnb2"
"1991","Sema4d","Plxnb3","Sema4d-Plxnb3"
"1992","Sema4c","Plxnb2","Sema4c-Plxnb2"
"1993","Sema4g","Plxnb2","Sema4g-Plxnb2"
"1994","Sema4a","Timd2","Sema4a-Timd2"
"1995","Sema4d","Cd72","Sema4d-Cd72"
"1996","Sema5a","Plxna1","Sema5a-Plxna1"
"1997","Sema5b","Plxna1","Sema5b-Plxna1"
"1998","Sema5a","Plxna3","Sema5a-Plxna3"
"1999","Sema5b","Plxna3","Sema5b-Plxna3"
"2000","Sema5a","Plxnb3","Sema5a-Plxnb3"
"2001","Sema6d","Plxna1","Sema6d-Plxna1"
"2004","Sema6a","Plxna2","Sema6a-Plxna2"
"2005","Sema6b","Plxna2","Sema6b-Plxna2"
"2006","Sema6a","Plxna4","Sema6a-Plxna4"
"2007","Sema6b","Plxna4","Sema6b-Plxna4"
"2008","Sema7a","Itgb1","Sema7a-Itgb1"
"2009","Sema7a","Plxnc1","Sema7a-Plxnc1"
"2010","Siglec1","Spn","Siglec1-Spn"
"2011","Thy1","Itgam","Thy1-Itgam"
"2012","Thy1","Itgax","Thy1-Itgax"
"2013","Thy1","Itgav","Thy1-Itgav"
"2014","Tigit","Nectin2","Tigit-Nectin2"
"2015","Tigit","Pvr","Tigit-Pvr"
"2016","Vcam1","Itga4","Vcam1-Itga4"
"2017","Vcam1","Itga9","Vcam1-Itga9"
"2019","Vsir","Igsf11","Vsir-Igsf11"
"2020","Amh","Acvr1","Amh-Acvr1"
"2021","Amh","Bmpr1a","Amh-Bmpr1a"
"2022","Angpt2","Itgb1","Angpt2-Itgb1"
"2023","Angptl1","Itgb1","Angptl1-Itgb1"
"2024","Angptl2","Itgb1","Angptl2-Itgb1"
"2025","Angptl3","Itgb3","Angptl3-Itgb3"
"2026","Angptl4","Itgb1","Angptl4-Itgb1"
"2027","Angptl4","Itgb3","Angptl4-Itgb3"
"2028","Anxa1","Lxa4","Anxa1-Lxa4"
"2029","Areg","Erbb2","Areg-Erbb2"
"2030","Bmp10","Bmpr2","Bmp10-Bmpr2"
"2031","Bmp10","Acvr2a","Bmp10-Acvr2a"
"2032","Bmp15","Bmpr2","Bmp15-Bmpr2"
"2033","Bmp2","Acvr2a","Bmp2-Acvr2a"
"2034","Bmp2","Acvr2b","Bmp2-Acvr2b"
"2035","Bmp2","Bmpr2","Bmp2-Bmpr2"
"2039","Bmp4","Acvr2a","Bmp4-Acvr2a"
"2040","Bmp4","Acvr2b","Bmp4-Acvr2b"
"2041","Bmp4","Bmpr2","Bmp4-Bmpr2"
"2045","Bmp5","Acvr2a","Bmp5-Acvr2a"
"2046","Bmp5","Acvr2b","Bmp5-Acvr2b"
"2047","Bmp5","Bmpr2","Bmp5-Bmpr2"
"2054","Bmp6","Acvr2a","Bmp6-Acvr2a"
"2055","Bmp6","Acvr2b","Bmp6-Acvr2b"
"2056","Bmp6","Bmpr2","Bmp6-Bmpr2"
"2063","Bmp7","Acvr2a","Bmp7-Acvr2a"
"2064","Bmp7","Acvr2b","Bmp7-Acvr2b"
"2065","Bmp7","Bmpr2","Bmp7-Bmpr2"
"2072","Bmp8a","Acvr2a","Bmp8a-Acvr2a"
"2073","Bmp8a","Acvr2b","Bmp8a-Acvr2b"
"2074","Bmp8a","Bmpr2","Bmp8a-Bmpr2"
"2081","Bmp8b","Acvr2a","Bmp8b-Acvr2a"
"2082","Bmp8b","Acvr2b","Bmp8b-Acvr2b"
"2083","Bmp8b","Bmpr2","Bmp8b-Bmpr2"
"2092","C3","Itgb2","C3-Itgb2"
"2094","Cd40lg","Itgb3","Cd40lg-Itgb3"
"2095","Cd40lg","Itgb1","Cd40lg-Itgb1"
"2096","Cd40lg","Itgb2","Cd40lg-Itgb2"
"2097","Cdh1","Itgb1","Cdh1-Itgb1"
"2098","Cdh1","Itgb7","Cdh1-Itgb7"
"2099","Chad","Itgb1","Chad-Itgb1"
"2100","Clcf1","Lifr","Clcf1-Lifr"
"2101","Cntf","Lifr","Cntf-Lifr"
"2102","Cntn2","Cntnap2","Cntn2-Cntnap2"
"2103","Col1a1","Itgb1","Col1a1-Itgb1"
"2109","Col1a1","Itgb8","Col1a1-Itgb8"
"2110","Col1a2","Itgb1","Col1a2-Itgb1"
"2116","Col1a2","Itgb8","Col1a2-Itgb8"
"2117","Col2a1","Itgb1","Col2a1-Itgb1"
"2123","Col2a1","Itgb8","Col2a1-Itgb8"
"2124","Col4a1","Itgb1","Col4a1-Itgb1"
"2130","Col4a1","Itgb8","Col4a1-Itgb8"
"2131","Col4a2","Itgb1","Col4a2-Itgb1"
"2137","Col4a2","Itgb8","Col4a2-Itgb8"
"2138","Col4a3","Itgb1","Col4a3-Itgb1"
"2144","Col4a3","Itgb8","Col4a3-Itgb8"
"2145","Col4a4","Itgb1","Col4a4-Itgb1"
"2151","Col4a4","Itgb8","Col4a4-Itgb8"
"2152","Col4a5","Itgb1","Col4a5-Itgb1"
"2158","Col4a5","Itgb8","Col4a5-Itgb8"
"2159","Col4a6","Itgb1","Col4a6-Itgb1"
"2165","Col4a6","Itgb8","Col4a6-Itgb8"
"2166","Col6a1","Itgb1","Col6a1-Itgb1"
"2172","Col6a1","Itgb8","Col6a1-Itgb8"
"2173","Col6a2","Itgb1","Col6a2-Itgb1"
"2179","Col6a2","Itgb8","Col6a2-Itgb8"
"2180","Col6a3","Itgb1","Col6a3-Itgb1"
"2186","Col6a3","Itgb8","Col6a3-Itgb8"
"2187","Col6a4","Itgb1","Col6a4-Itgb1"
"2193","Col6a4","Itgb8","Col6a4-Itgb8"
"2194","Col6a5","Itgb1","Col6a5-Itgb1"
"2200","Col6a5","Itgb8","Col6a5-Itgb8"
"2201","Col6a6","Itgb1","Col6a6-Itgb1"
"2207","Col6a6","Itgb8","Col6a6-Itgb8"
"2208","Col9a1","Itgb1","Col9a1-Itgb1"
"2214","Col9a1","Itgb8","Col9a1-Itgb8"
"2215","Col9a2","Itgb1","Col9a2-Itgb1"
"2221","Col9a2","Itgb8","Col9a2-Itgb8"
"2222","Col9a3","Itgb1","Col9a3-Itgb1"
"2228","Col9a3","Itgb8","Col9a3-Itgb8"
"2229","Comp","Itgb1","Comp-Itgb1"
"2230","Comp","Itgb3","Comp-Itgb3"
"2231","Csf2","Csf2rb","Csf2-Csf2rb"
"2232","Cspg4","Itgb1","Cspg4-Itgb1"
"2233","Ctf1","Il6st","Ctf1-Il6st"
"2234","Dmp1","Itgb3","Dmp1-Itgb3"
"2235","Dspp","Itgb1","Dspp-Itgb1"
"2236","Dspp","Itgb6","Dspp-Itgb6"
"2237","Ebi3","Il6st","Ebi3-Il6st"
"2238","Egf","Erbb2","Egf-Erbb2"
"2241","Fcer2a","Itgb2","Fcer2a-Itgb2"
"2243","Fcer2a","Itgb3","Fcer2a-Itgb3"
"2244","Fn1","Itgb1","Fn1-Itgb1"
"2249","Fn1","Itgb7","Fn1-Itgb7"
"2250","Fn1","Itgb3","Fn1-Itgb3"
"2252","Fn1","Itgb6","Fn1-Itgb6"
"2253","Fn1","Itgb8","Fn1-Itgb8"
"2254","Gdf1","Acvr2a","Gdf1-Acvr2a"
"2255","Gdf1","Acvr2b","Gdf1-Acvr2b"
"2258","Gdf10","Acvr2a","Gdf10-Acvr2a"
"2259","Gdf11","Acvr2a","Gdf11-Acvr2a"
"2260","Gdf11","Acvr2b","Gdf11-Acvr2b"
"2262","Gdf2","Bmpr2","Gdf2-Bmpr2"
"2263","Gdf2","Acvr2a","Gdf2-Acvr2a"
"2264","Gdf3","Acvr2a","Gdf3-Acvr2a"
"2265","Gdf3","Acvr2b","Gdf3-Acvr2b"
"2268","Gdf5","Acvr2a","Gdf5-Acvr2a"
"2269","Gdf5","Acvr2b","Gdf5-Acvr2b"
"2270","Gdf5","Bmpr2","Gdf5-Bmpr2"
"2274","Gdf6","Acvr2a","Gdf6-Acvr2a"
"2275","Gdf6","Acvr2b","Gdf6-Acvr2b"
"2276","Gdf6","Bmpr2","Gdf6-Bmpr2"
"2280","Gdf7","Acvr2a","Gdf7-Acvr2a"
"2281","Gdf7","Acvr2b","Gdf7-Acvr2b"
"2282","Gdf7","Bmpr2","Gdf7-Bmpr2"
"2286","Gdf9","Bmpr2","Gdf9-Bmpr2"
"2287","Gp1ba","Itgb2","Gp1ba-Itgb2"
"2288","H2-t23","Klrc1","H2-t23-Klrc1"
"2289","H2-t23","Klrc2","H2-t23-Klrc2"
"2292","Ibsp","Itgb3","Ibsp-Itgb3"
"2293","Ibsp","Itgb5","Ibsp-Itgb5"
"2294","Icam1","Itgb2","Icam1-Itgb2"
"2297","Icam1","Itgb2l","Icam1-Itgb2l"
"2299","Icam2","Itgb2","Icam2-Itgb2"
"2301","Icam2","Itgb2l","Icam2-Itgb2l"
"2303","Ifna","Ifnar2","Ifna-Ifnar2"
"2304","Ifna1","Ifnar2","Ifna1-Ifnar2"
"2305","Ifna11","Ifnar2","Ifna11-Ifnar2"
"2306","Ifna12","Ifnar2","Ifna12-Ifnar2"
"2307","Ifna13","Ifnar2","Ifna13-Ifnar2"
"2308","Ifna14","Ifnar2","Ifna14-Ifnar2"
"2309","Ifna15","Ifnar2","Ifna15-Ifnar2"
"2310","Ifna2","Ifnar2","Ifna2-Ifnar2"
"2311","Ifna4","Ifnar2","Ifna4-Ifnar2"
"2312","Ifna5","Ifnar2","Ifna5-Ifnar2"
"2313","Ifna6","Ifnar2","Ifna6-Ifnar2"
"2314","Ifna7","Ifnar2","Ifna7-Ifnar2"
"2315","Ifna9","Ifnar2","Ifna9-Ifnar2"
"2316","Ifnab","Ifnar2","Ifnab-Ifnar2"
"2317","Ifnb1","Ifnar2","Ifnb1-Ifnar2"
"2318","Ifne","Ifnar2","Ifne-Ifnar2"
"2319","Ifng","Ifngr2","Ifng-Ifngr2"
"2320","Ifnk","Ifnar2","Ifnk-Ifnar2"
"2321","Ifnl2","Il10rb","Ifnl2-Il10rb"
"2322","Ifnl3","Il10rb","Ifnl3-Il10rb"
"2323","Igf1","Itgb3","Igf1-Itgb3"
"2324","Igf1","Itgb4","Igf1-Itgb4"
"2325","Igf2","Itgb3","Igf2-Itgb3"
"2326","Igf2","Itgb4","Igf2-Itgb4"
"2327","Il10","Il10rb","Il10-Il10rb"
"2328","Il11","Il6st","Il11-Il6st"
"2330","Il12b","Il12rb2","Il12b-Il12rb2"
"2333","Il15","Il2rb","Il15-Il2rb"
"2334","Il17a","Il17rc","Il17a-Il17rc"
"2335","Il17af","Il17rc","Il17af-Il17rc"
"2336","Il17c","Il17re","Il17c-Il17re"
"2337","Il17f","Il17rc","Il17f-Il17rc"
"2338","Il18","Il18rap","Il18-Il18rap"
"2339","Il19","Il20rb","Il19-Il20rb"
"2340","Il1a","Il1rap","Il1a-Il1rap"
"2341","Il1b","Il1rap","Il1b-Il1rap"
"2342","Il1f10","Il1rap","Il1f10-Il1rap"
"2343","Il1f5","Il1rap","Il1f5-Il1rap"
"2344","Il1f6","Il1rap","Il1f6-Il1rap"
"2345","Il1f8","Il1rap","Il1f8-Il1rap"
"2346","Il1f9","Il1rap","Il1f9-Il1rap"
"2348","Il2","Il2rg","Il2-Il2rg"
"2349","Il20","Il20rb","Il20-Il20rb"
"2351","Il21","Il2rg","Il21-Il2rg"
"2352","Il22","Il10rb","Il22-Il10rb"
"2353","Il23a","Il12rb1","Il23a-Il12rb1"
"2354","Il24","Il20rb","Il24-Il20rb"
"2356","Il25","Il17rb","Il25-Il17rb"
"2357","Il3","Csf2rb","Il3-Csf2rb"
"2358","Il31","Osmr","Il31-Osmr"
"2359","Il33","Il1rap","Il33-Il1rap"
"2360","Il4","Il2rg","Il4-Il2rg"
"2361","Il4","Il13ra1","Il4-Il13ra1"
"2362","Il4","Il13ra2","Il4-Il13ra2"
"2363","Il5","Csf2rb","Il5-Csf2rb"
"2364","Il6","Il6st","Il6-Il6st"
"2365","Il7","Il2rg","Il7-Il2rg"
"2366","Il9","Il2rg","Il9-Il2rg"
"2367","Inhb","Acvr2b","Inhb-Acvr2b"
"2368","Inhba","Acvr2a","Inhba-Acvr2a"
"2369","Inhba","Acvr2b","Inhba-Acvr2b"
"2370","Inhbabb","Acvr2a","Inhbabb-Acvr2a"
"2371","Inhbabb","Acvr2b","Inhbabb-Acvr2b"
"2373","Inhbb","Acvr2a","Inhbb-Acvr2a"
"2374","Inhbb","Acvr2b","Inhbb-Acvr2b"
"2377","Inhbc","Acvr2a","Inhbc-Acvr2a"
"2378","Inhbc","Acvr2b","Inhbc-Acvr2b"
"2381","Inhbe","Acvr2a","Inhbe-Acvr2a"
"2382","Inhbe","Acvr2b","Inhbe-Acvr2b"
"2385","Jam1","Itgb2","Jam1-Itgb2"
"2386","Jam2","Itgb1","Jam2-Itgb1"
"2388","Jam3","Itgb2","Jam3-Itgb2"
"2389","Jam3","Itgb2l","Jam3-Itgb2l"
"2390","L1cam","Itgb3","L1cam-Itgb3"
"2391","L1cam","Itgb7","L1cam-Itgb7"
"2392","Lama1","Itgb1","Lama1-Itgb1"
"2398","Lama1","Itgb8","Lama1-Itgb8"
"2399","Lama1","Itgb4","Lama1-Itgb4"
"2400","Lama2","Itgb1","Lama2-Itgb1"
"2406","Lama2","Itgb8","Lama2-Itgb8"
"2407","Lama2","Itgb4","Lama2-Itgb4"
"2408","Lama3","Itgb1","Lama3-Itgb1"
"2414","Lama3","Itgb8","Lama3-Itgb8"
"2415","Lama3","Itgb4","Lama3-Itgb4"
"2416","Lama4","Itgb1","Lama4-Itgb1"
"2422","Lama4","Itgb8","Lama4-Itgb8"
"2423","Lama4","Itgb4","Lama4-Itgb4"
"2424","Lama5","Itgb1","Lama5-Itgb1"
"2430","Lama5","Itgb8","Lama5-Itgb8"
"2431","Lama5","Itgb4","Lama5-Itgb4"
"2432","Lamb1","Itgb1","Lamb1-Itgb1"
"2438","Lamb1","Itgb8","Lamb1-Itgb8"
"2439","Lamb1","Itgb4","Lamb1-Itgb4"
"2440","Lamb2","Itgb1","Lamb2-Itgb1"
"2446","Lamb2","Itgb8","Lamb2-Itgb8"
"2447","Lamb2","Itgb4","Lamb2-Itgb4"
"2448","Lamb3","Itgb1","Lamb3-Itgb1"
"2454","Lamb3","Itgb8","Lamb3-Itgb8"
"2455","Lamb3","Itgb4","Lamb3-Itgb4"
"2456","Lamc1","Itgb1","Lamc1-Itgb1"
"2462","Lamc1","Itgb8","Lamc1-Itgb8"
"2463","Lamc1","Itgb4","Lamc1-Itgb4"
"2464","Lamc2","Itgb1","Lamc2-Itgb1"
"2470","Lamc2","Itgb8","Lamc2-Itgb8"
"2471","Lamc2","Itgb4","Lamc2-Itgb4"
"2472","Lamc3","Itgb1","Lamc3-Itgb1"
"2478","Lamc3","Itgb8","Lamc3-Itgb8"
"2479","Lamc3","Itgb4","Lamc3-Itgb4"
"2480","Lck","Cd8b1","Lck-Cd8b1"
"2481","Lif","Il6st","Lif-Il6st"
"2482","Lta","Ltbr","Lta-Ltbr"
"2483","Madcam1","Itgb7","Madcam1-Itgb7"
"2484","Mdk","Itgb1","Mdk-Itgb1"
"2486","Mif","Cxcr4","Mif-Cxcr4"
"2487","Mif","Cd44","Mif-Cd44"
"2488","Mif","Cxcr2","Mif-Cxcr2"
"2489","Mstn","Acvr2b","Mstn-Acvr2b"
"2491","Mstn","Acvr2a","Mstn-Acvr2a"
"2493","Nampt","Itgb1","Nampt-Itgb1"
"2494","Nfasc","Cntnap1","Nfasc-Cntnap1"
"2495","Nodal","Acvr2a","Nodal-Acvr2a"
"2497","Nodal","Acvr2b","Nodal-Acvr2b"
"2499","Npnt1","Itgb1","Npnt1-Itgb1"
"2500","Npnt2","Itgb1","Npnt2-Itgb1"
"2503","Nrg1","Itgb3","Nrg1-Itgb3"
"2508","Osm","Il6st","Osm-Il6st"
"2510","Postn","Itgb3","Postn-Itgb3"
"2511","Postn","Itgb5","Postn-Itgb5"
"2512","Ptn","Itgb3","Ptn-Itgb3"
"2513","Reln","Itgb1","Reln-Itgb1"
"2514","Sema3a","Plxna1","Sema3a-Plxna1"
"2515","Sema3a","Plxna2","Sema3a-Plxna2"
"2516","Sema3a","Plxna3","Sema3a-Plxna3"
"2517","Sema3a","Plxna4","Sema3a-Plxna4"
"2518","Sema3b","Plxna1","Sema3b-Plxna1"
"2519","Sema3b","Plxna2","Sema3b-Plxna2"
"2520","Sema3b","Plxna3","Sema3b-Plxna3"
"2521","Sema3b","Plxna4","Sema3b-Plxna4"
"2526","Sema3c","Plxna1","Sema3c-Plxna1"
"2527","Sema3c","Plxna2","Sema3c-Plxna2"
"2528","Sema3c","Plxna3","Sema3c-Plxna3"
"2529","Sema3c","Plxna4","Sema3c-Plxna4"
"2535","Sema3d","Plxna1","Sema3d-Plxna1"
"2536","Sema3d","Plxna2","Sema3d-Plxna2"
"2537","Sema3d","Plxna3","Sema3d-Plxna3"
"2538","Sema3d","Plxna4","Sema3d-Plxna4"
"2543","Sema3f","Plxna1","Sema3f-Plxna1"
"2544","Sema3f","Plxna2","Sema3f-Plxna2"
"2545","Sema3f","Plxna3","Sema3f-Plxna3"
"2546","Sema3f","Plxna4","Sema3f-Plxna4"
"2547","Sema3g","Plxna1","Sema3g-Plxna1"
"2548","Sema3g","Plxna2","Sema3g-Plxna2"
"2549","Sema3g","Plxna3","Sema3g-Plxna3"
"2550","Sema3g","Plxna4","Sema3g-Plxna4"
"2551","Sema4a","Plxna1","Sema4a-Plxna1"
"2552","Sema4a","Plxna2","Sema4a-Plxna2"
"2553","Sema4a","Plxna3","Sema4a-Plxna3"
"2554","Sema4a","Plxna4","Sema4a-Plxna4"
"2555","Sema6d","Kdr","Sema6d-Kdr"
"2556","Sema6d","Trem2","Sema6d-Trem2"
"2557","Sema7a","Itga1","Sema7a-Itga1"
"2558","Spp1","Itgb3","Spp1-Itgb3"
